X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
X, S, C, C, C, C, C, R, C, C, C, C, C, C, R, C, C, C, C, C, C, X
X, R, C, M, M, R, C, M, C, C, C, R, M, M, C, R, M, M, C, C, R, X
X, C, C, C, C, C, C, C, C, C, R, C, C, C, C, C, C, C, C, C, C, X
X, M, C, C, C, C, M, C, M, C, C, C, M, C, M, C, C, C, C, C, M, X
X, C, R, C, C, C, C, C, C, R, C, C, C, C, R, C, C, C, C, R, C, X
X, C, C, C, M, R, M, C, C, C, C, C, M, C, C, M, C, C, R, C, C, X
X, M, C, M, C, C, M, C, C, C, M, C, C, C, C, C, M, C, M, C, C, X
X, C, C, C, C, R, C, C, R, C, C, C, C, R, C, C, C, C, C, R, C, X
X, C, C, M, C, C, C, M, C, C, C, C, C, M, C, C, C, C, C, C, C, X
X, R, C, C, C, C, C, C, R, M, C, M, C, C, C, C, R, C, C, C, C, X
X, C, C, C, C, C, C, R, C, C, C, R, C, M, C, C, C, C, C, M, C, X
X, C, C, M, M, C, C, C, C, C, C, M, C, C, C, M, C, C, C, C, C, X
X, C, C, C, R, C, C, R, C, C, R, C, M, C, R, C, R, C, C, C, C, X
X, M, C, C, C, C, C, C, C, C, C, C, C, C, C, C, M, C, C, C, C, X
X, C, C, R, C, C, R, C, C, C, R, C, R, C, C, C, C, R, C, C, R, X
X, C, C, C, M, C, C, C, C, C, C, M, C, C, C, C, C, C, M, C, C, X
X, C, R, C, C, C, R, M, R, C, C, C, C, C, R, C, C, C, R, C, C, X
X, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, X
X, C, R, C, C, C, R, M, R, C, C, C, C, C, R, C, C, C, R, C, C, X
X, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, G, C, C, X
X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
