X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
X, S, C, C, R, C, C, C, R, C, C, C, C, R, C, C, C, C, C, C, C, X
X, R, C, M, C, M, R, C, M, C, R, M, C, R, C, M, C, M, C, C, R, X
X, C, C, C, C, C, C, C, R, C, C, C, R, C, C, C, C, C, C, C, C, X
X, M, C, C, M, C, C, C, M, C, M, C, C, C, M, C, C, M, C, M, C, X
X, C, R, C, C, C, C, R, C, C, C, R, C, C, C, C, C, R, C, C, C, X
X, C, C, M, C, C, M, C, C, C, C, M, C, C, M, C, C, C, C, C, C, X
X, C, C, C, C, C, C, R, C, C, C, C, C, C, C, C, C, R, C, C, C, X
X, M, C, C, C, M, C, C, C, C, M, C, C, C, M, C, C, C, C, M, C, X
X, C, R, C, R, C, R, C, C, C, C, R, C, R, C, C, R, C, C, C, R, X
X, C, C, M, C, C, C, C, C, C, C, C, M, C, C, C, C, C, C, M, C, X
X, R, C, C, C, C, R, C, C, C, C, C, C, R, C, R, C, C, C, C, C, X
X, C, C, M, C, C, C, C, C, C, M, C, C, C, C, C, C, C, M, C, C, X
X, C, C, C, C, C, R, C, C, C, C, R, C, C, R, C, R, C, C, C, R, X
X, C, C, C, C, C, C, C, R, C, C, C, C, R, C, C, C, C, C, C, C, X
X, M, C, M, M, C, C, C, M, C, C, M, M, C, C, C, C, C, M, C, M, X
X, R, C, C, C, R, C, C, C, R, C, C, C, C, C, C, R, C, C, C, R, X
X, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, X
X, M, C, M, M, C, C, C, M, C, C, M, M, C, C, C, C, C, M, C, M, X
X, R, C, C, C, R, C, C, C, R, C, C, C, C, C, C, R, C, C, C, R, X
X, C, C, C, C, C, C, C, C, C, C, C, G, C, C, C, C, C, C, C, C, X
X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
